Resuming — 5 days already cached.
  [ 132/183] 2026-02-12 ... up  conf=0.62
  [ 133/183] 2026-02-13 ... down  conf=0.62
  [ 134/183] 2026-02-17 ... up  conf=0.60
  [ 135/183] 2026-02-18 ... up  conf=0.58
  [ 136/183] 2026-02-19 ... down  conf=0.58
  [ 137/183] 2026-02-20 ... up  conf=0.57
  [ 138/183] 2026-02-23 ... up  conf=0.66
  [ 139/183] 2026-02-24 ... up  conf=0.66
  [ 140/183] 2026-02-25 ... up  conf=0.68
  [ 141/183] 2026-02-26 ... up  conf=0.63
  [ 142/183] 2026-02-27 ... down  conf=0.65
  [ 143/183] 2026-03-02 ... down  conf=0.58
  [ 144/183] 2026-03-03 ... down  conf=0.60
  [ 145/183] 2026-03-04 ... down  conf=0.63
  [ 146/183] 2026-03-05 ... down  conf=0.68
  [ 147/183] 2026-03-06 ... down  conf=0.68
  [ 148/183] 2026-03-09 ... down  conf=0.62
  [ 149/183] 2026-03-10 ... up  conf=0.60
  [ 150/183] 2026-03-11 ... up  conf=0.58
  [ 151/183] 2026-03-12 ... down  conf=0.63
  [ 152/183] 2026-03-13 ... down  conf=0.68
  [ 153/183] 2026-03-16 ... down  conf=0.58
  [ 154/183] 2026-03-17 ... down  conf=0.58
  [ 155/183] 2026-03-18 ... down  conf=0.66
  [ 156/183] 2026-03-19 ... down  conf=0.62
  [ 157/183] 2026-03-20 ... down  conf=0.63
  [ 158/183] 2026-03-23 ... up  conf=0.62
  [ 159/183] 2026-03-24 ... down  conf=0.58
  [ 160/183] 2026-03-25 ... up  conf=0.62
  [ 161/183] 2026-03-26 ... up  conf=0.60
  [ 162/183] 2026-03-27 ... down  conf=0.64
  [ 163/183] 2026-03-30 ... down  conf=0.65
  [ 164/183] 2026-03-31 ... up  conf=0.60
  [ 165/183] 2026-04-01 ... up  conf=0.68
  [ 166/183] 2026-04-02 ... up  conf=0.68
  [ 167/183] 2026-04-06 ... up  conf=0.76
  [ 168/183] 2026-04-07 ... up  conf=0.60
  [ 169/183] 2026-04-08 ... up  conf=0.72
  [ 170/183] 2026-04-09 ... up  conf=0.70
  [ 171/183] 2026-04-10 ... up  conf=0.63
  [ 172/183] 2026-04-13 ... up  conf=0.62
  [ 173/183] 2026-04-14 ... up  conf=0.60
  [ 174/183] 2026-04-15 ... up  conf=0.70
  [ 175/183] 2026-04-16 ... up  conf=0.60
  [ 176/183] 2026-04-17 ... up  conf=0.68
  [ 177/183] 2026-04-20 ... up  conf=0.72
  [ 178/183] 2026-04-21 ... down  conf=0.58
  [ 179/183] 2026-04-22 ... up  conf=0.68
  [ 180/183] 2026-04-23 ... up  conf=0.66
  [ 181/183] 2026-04-24 ... up  conf=0.60
  [ 182/183] 2026-04-27 ... down  conf=0.63
  [ 183/183] 2026-04-28 ... up  conf=0.58

── Condition L1 Results ─────────────────────────────
Evaluation days         : 188
Null / skipped          : 0
Dir. Accuracy           : 46.8%  (random baseline: 50.0%)
Conf-weighted Acc (≥0.7): 50.0%  (32 days)
